epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1860.07,1.39039,1.48212,1.31909,0.75402,0.69911,0.78291,0.37785,1.59481,1.81039,1.30492,0.000663551,0.000663551,0.000663551
2,7283.18,1.30417,1.04725,1.26592,0.86288,0.9517,0.94161,0.61394,1.20522,0.8217,1.13446,0.00067176,0.00067176,0.00067176
